timestamp,open,high,low,close,volume
2023-04-20 19:55:00,126.3000,126.3000,126.3000,126.3000,400
2023-04-20 19:45:00,126.3400,126.3400,126.3400,126.3400,250
2023-04-20 19:40:00,126.3800,126.3800,126.3800,126.3800,187
2023-04-20 19:35:00,126.3400,126.3400,126.3400,126.3400,300
2023-04-20 19:15:00,126.3400,126.3400,126.3400,126.3400,201
2023-04-20 18:30:00,126.3000,126.3000,126.3000,126.3000,500
2023-04-20 18:00:00,126.3025,126.3025,126.3025,126.3025,712
2023-04-20 17:50:00,126.3013,126.3013,126.3000,126.3000,1211
2023-04-20 17:40:00,126.3700,126.3700,126.3700,126.3700,815
2023-04-20 17:35:00,126.3500,126.3500,126.3500,126.3500,301
2023-04-20 17:15:00,126.3500,126.3500,126.3500,126.3500,620
2023-04-20 16:55:00,126.3000,126.3000,126.3000,126.3000,1210
2023-04-20 16:50:00,126.3978,126.4000,126.2500,126.2500,9504
2023-04-20 16:45:00,126.4000,126.4000,126.4000,126.4000,1044
2023-04-20 16:40:00,126.3999,126.4000,126.3700,126.3700,769
2023-04-20 16:25:00,126.3800,126.4000,126.3800,126.4000,3135
2023-04-20 16:20:00,126.2700,126.3200,126.2700,126.3200,415
2023-04-20 16:15:00,126.3200,126.3500,126.3000,126.3500,979
2023-04-20 16:10:00,126.4000,126.4000,126.3600,126.4000,8009
2023-04-20 16:05:00,126.3600,126.4000,126.3000,126.4000,93783
2023-04-20 16:00:00,126.3750,126.5500,126.3200,126.3800,408530
2023-04-20 15:55:00,126.2100,126.3700,126.1350,126.3650,184514
2023-04-20 15:50:00,126.2500,126.2800,126.1600,126.2400,92681
2023-04-20 15:45:00,126.1850,126.2900,126.1800,126.2500,80249
2023-04-20 15:40:00,126.3500,126.3500,126.1400,126.1900,91925
2023-04-20 15:35:00,126.3150,126.3900,126.3000,126.3500,70559
2023-04-20 15:30:00,126.3825,126.3825,126.2900,126.3200,47483
2023-04-20 15:25:00,126.3701,126.4400,126.3200,126.3700,53250
2023-04-20 15:20:00,126.3400,126.4200,126.3075,126.3750,52347
2023-04-20 15:15:00,126.4100,126.4200,126.2740,126.3350,49778
2023-04-20 15:10:00,126.3400,126.4600,126.3000,126.4249,45696
2023-04-20 15:05:00,126.3700,126.3900,126.3000,126.3400,80973
2023-04-20 15:00:00,126.3161,126.3800,126.2800,126.3650,48182
2023-04-20 14:55:00,126.3000,126.3800,126.2200,126.3200,48935
2023-04-20 14:50:00,126.1900,126.3300,126.1000,126.2800,93439
2023-04-20 14:45:00,126.4450,126.4450,126.1900,126.2399,58258
2023-04-20 14:40:00,126.6100,126.6500,126.4201,126.4300,59834
2023-04-20 14:35:00,126.8400,126.8500,126.6000,126.6600,45027
2023-04-20 14:30:00,126.9200,126.9200,126.7500,126.8381,39621
